BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName
123566,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123567,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123568,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123569,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123570,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123571,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123572,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123573,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123574,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123575,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123576,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123577,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123578,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123579,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123580,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123581,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123582,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123583,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123584,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123585,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123586,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123587,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123588,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123589,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123590,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123591,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123592,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123593,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123594,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123595,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123596,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123597,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123598,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
123599,UATP,CREDIT,UATP,TURKISH AIRLINES (TK),,,TR,TUR,TURKEY
200302,LOCAL BRAND,DEBIT,,"YAPI KREDI SIGORTA, A.S.",,,TR,TUR,TURKEY
223380,MASTERCARD,CREDIT,B2B,"TURKIYE GARANTI BANKASI, A.S.",,http://www.garanti.com.tr,TR,TUR,TURKEY
310422,PRIVATE LABEL,DEBIT,,,,,TR,TUR,TURKEY
340621,AMERICAN EXPRESS,CREDIT,STANDARD,,,,TR,TUR,TURKEY
340710,AMERICAN EXPRESS,CREDIT,STANDARD,,,,TR,TUR,TURKEY
342119,AMERICAN EXPRESS,CREDIT,STANDARD,,,,TR,TUR,TURKEY
342123,AMERICAN EXPRESS,CREDIT,STANDARD,,,,TR,TUR,TURKEY
345231,AMERICAN EXPRESS,CREDIT,,,,,TR,TUR,TURKEY
347026,AMERICAN EXPRESS,CREDIT,STANDARD,,,,TR,TUR,TURKEY
347244,AMERICAN EXPRESS,CREDIT,,,,,TR,TUR,TURKEY
347846,AMERICAN EXPRESS,CREDIT,STANDARD,,,,TR,TUR,TURKEY
347914,AMERICAN EXPRESS,CREDIT,,,,,TR,TUR,TURKEY
349358,AMERICAN EXPRESS,CREDIT,STANDARD,,,,TR,TUR,TURKEY
349634,AMERICAN EXPRESS,CREDIT,STANDARD,,,,TR,TUR,TURKEY
351300,PRIVATE LABEL,DEBIT,,,,,TR,TUR,TURKEY
351702,PRIVATE LABEL,DEBIT,,,,,TR,TUR,TURKEY
352576,PRIVATE LABEL,CREDIT,STANDARD,,,,TR,TUR,TURKEY
361848,DINERS CLUB INTERNATIONAL,CREDIT,STANDARD,,,,TR,TUR,TURKEY
363345,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,,,,TR,TUR,TURKEY
363411,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,,,,TR,TUR,TURKEY
364268,DINERS CLUB INTERNATIONAL,CREDIT,STANDARD,,,,TR,TUR,TURKEY
364773,DINERS CLUB INTERNATIONAL,CREDIT,,,,,TR,TUR,TURKEY
364774,DINERS CLUB INTERNATIONAL,CREDIT,,,,,TR,TUR,TURKEY
364775,DINERS CLUB INTERNATIONAL,CREDIT,,,,,TR,TUR,TURKEY
365740,DINERS CLUB INTERNATIONAL,CREDIT,,,,,TR,TUR,TURKEY
365770,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,DC ABANK TURKEY,,,TR,TUR,TURKEY
365771,DINERS CLUB INTERNATIONAL,CREDIT,PERSONAL,DC ABANK TURKEY,,,TR,TUR,TURKEY
365772,DINERS CLUB INTERNATIONAL,CREDIT,PERSONAL,DC ABANK TURKEY,,,TR,TUR,TURKEY
365773,DINERS CLUB INTERNATIONAL,CREDIT,PERSONAL,DC ABANK TURKEY,,,TR,TUR,TURKEY
370121,AMERICAN EXPRESS,CREDIT,PERSONAL,,,,TR,TUR,TURKEY
370558,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS COMPANY,,http://www.americanexpress.com,TR,TUR,TURKEY
370674,AMERICAN EXPRESS,CREDIT,,AMERICAN EXPRESS COMPANY,,http://www.americanexpress.com,TR,TUR,TURKEY
374421,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
374422,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
374423,AMERICAN EXPRESS,CREDIT,SMALL BUSINESS,GARANTI BANK,,,TR,TUR,TURKEY
374424,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
374425,AMERICAN EXPRESS,CREDIT,CORPORATE,GARANTI BANK,,,TR,TUR,TURKEY
374426,AMERICAN EXPRESS,CREDIT,CORPORATE,GARANTI BANK,,,TR,TUR,TURKEY
374427,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
374428,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
375550,AMERICAN EXPRESS,CREDIT,,,,,TR,TUR,TURKEY
375551,AMERICAN EXPRESS,CREDIT,,,,,TR,TUR,TURKEY
375557,AMERICAN EXPRESS,CREDIT,,AKBANK T.A.S.,+904442525,http://www.akbank.com,TR,TUR,TURKEY
375622,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
375623,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
375624,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
375625,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
375626,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
375627,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
375628,AMERICAN EXPRESS,CREDIT,,GARANTI BANK,+902123181818,http://www.garanti.com.tr,TR,TUR,TURKEY
375629,AMERICAN EXPRESS,CREDIT,,GARANTI BANK,+902123181818,http://www.garanti.com.tr,TR,TUR,TURKEY
375631,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
377137,AMERICAN EXPRESS,CREDIT,SMALL BUSINESS,GARANTI BANK,,,TR,TUR,TURKEY
377140,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
377141,AMERICAN EXPRESS,CREDIT,PERSONAL,,,,TR,TUR,TURKEY
377142,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
377143,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
377596,AMERICAN EXPRESS,CREDIT,SMALL BUSINESS,GARANTI BANK,,,TR,TUR,TURKEY
377597,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
377598,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
377599,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
378332,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
379369,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
379370,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
379371,AMERICAN EXPRESS,CREDIT,PERSONAL,GARANTI BANK,,,TR,TUR,TURKEY
389035,DINERS CLUB INTERNATIONAL,CREDIT,STANDARD,,,,TR,TUR,TURKEY
400684,VISA,CREDIT,CLASSIC,"ING BANK, A.S.",,http://www.ingbank.com.tr,TR,TUR,TURKEY
400709,VISA,DEBIT,CLASSIC,QNB BANK A.S,,,TR,TUR,TURKEY
400742,VISA,CREDIT,CLASSIC,"TURKIYE FINANS KATILIM BANKASI, A.S.",,http://www.turkiyefinans.com.tr,TR,TUR,TURKEY
401049,VISA,DEBIT,PLATINUM,"TURKIYE HALK BANKASI, A.S.",,http://www.halkbank.com.tr,TR,TUR,TURKEY
401071,VISA,DEBIT,ELECTRON,"TURKIYE IS BANKASI, A.S.",,http://www.isbank.com.tr,TR,TUR,TURKEY
401072,VISA,CREDIT,CLASSIC,"FINANSBANK, A.S.",+908502220900,https://www.qnbfinansbank.com,TR,TUR,TURKEY
